"","x"
"193","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"194","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"195","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"196","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"197","RT @flightradar24: <U+0001F195> AvTalk Ep. 102 — We discuss the crash of #SJ182, COVID’s continuing impacts on aviation, Norwegian’s move away from lo…"
"198","RT @flightradar24: Our first new AvTalk episode of the year — we review what we know about the crash of #SJ182 in Indonesia, Boeing’s defer…"
"199","RT @flightradar24: Our first new AvTalk episode of the year — we review what we know about the crash of #SJ182 in Indonesia, Boeing’s defer…"
"200","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"201","RT @flightradar24: Our first new AvTalk episode of the year — we review what we know about the crash of #SJ182 in Indonesia, Boeing’s defer…"
"202","RT @flightradar24: Our first new AvTalk episode of the year — we review what we know about the crash of #SJ182 in Indonesia, Boeing’s defer…"
"203","RT @ArmWC_MY: Stay safe and take care Indonesia Kamchai's , all of us pray the best for you  . All the family of passengers #SJ182 we send…"
"204","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"205","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"206","RT @flightradar24: Our first new AvTalk episode of the year — we review what we know about the crash of #SJ182 in Indonesia, Boeing’s defer…"
"207","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"208","RT @glizty: My heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

So much happened in this early 2021, either it's good or bad things. Everything…"
"209","RT @flightradar24: Our first new AvTalk episode of the year — we review what we know about the crash of #SJ182 in Indonesia, Boeing’s defer…"
"210","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"211","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"212","RT @flightradar24: Our first new AvTalk episode of the year — we review what we know about the crash of #SJ182 in Indonesia, Boeing’s defer…"
"213","RT @flightradar24: Our first new AvTalk episode of the year — we review what we know about the crash of #SJ182 in Indonesia, Boeing’s defer…"
"214","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"215","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"216","RT @flightradar24: Our first new AvTalk episode of the year — we review what we know about the crash of #SJ182 in Indonesia, Boeing’s defer…"
"217","RT @flightradar24: Our first new AvTalk episode of the year — we review what we know about the crash of #SJ182 in Indonesia, Boeing’s defer…"
"218","Our first new AvTalk episode of the year — we review what we know about the crash of #SJ182 in Indonesia, Boeing’s… https://t.co/hWBo45e5T5"
"219","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"220","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"221","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"222","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
